Boarding,Garia ,Patuli P.S.,Peerless,Ajaynagar,Kalikapur,Ruby hospital,VIP Bazaar,Science City,Metroplitan,Beliaghata XING,HUDCO,Khanna Cinema,"Shyambazar
",Bagbazar
1,0.39,0.02,0.01,0.08,0.03,0.09,0.03,0.08,0.06,0.04,0,0,0,0
2,0.63,0.03,0,0.01,0.01,0.06,0.01,0.11,0.02,0.03,0,0,0.01,0
3,0.64,0.04,0.01,0.02,0.02,0.06,0.01,0.19,0.11,0.04,0.02,0,0.01,0
4,0.76,0.02,0,0.04,0.02,0.05,0.03,0.08,0.04,0.04,0.02,0,0,0
5,1.22,0.02,0.01,0.02,0.13,0.06,0.07,0.08,0.04,0.05,0.03,0.02,0.02,0
6,1.2,0.02,0.01,0.03,0.42,0.07,0.04,0.21,0.05,0.05,0.06,0.01,0.07,0
7,0.29,0.02,0.01,0.12,0.04,0.06,0.05,0.2,0.11,0.05,0.02,0.04,0.03,0
8,0.26,0.02,0,0.04,0.13,0.05,0.05,0.07,0.16,0.04,0.02,0,0,0
9,0.35,0.04,0,0.08,0.07,0.06,0.05,0.14,0.09,0.01,0.02,0.02,0,0
10,0.75,0.04,0,0.07,0.06,0.06,0.05,0.17,0.14,0.03,0.03,0.06,0.02,0
11,0.42,0.02,0,0.04,0.16,0.03,0.05,0.18,0.06,0.01,0.01,0,0,0
12,0.28,0.01,0,0.01,0.2,0.02,0.12,0.15,0.03,0.01,0,0,0,0
13,0.62,0.01,0,0.03,0.04,0.03,0.02,0.12,0.03,0.01,0,0.02,0,0
14,0.8,0.02,0.03,0.02,0.06,0.04,0.02,0.07,0.03,0.01,0.01,0,0,0
15,0.52,0.02,0.02,0.01,0.08,0.04,0.03,0.06,0.01,0.01,0,0,0.02,0
16,0.37,0.08,0.01,0.03,0.07,0.07,0.04,0.04,0.03,0.02,0.01,0,0,0
