Alighting,Garia ,Patuli P.S.,Peerless,Ajaynagar,Kalikapur,Ruby hospital,VIP Bazaar,Science City,Metroplitan,Beliaghata XING,HUDCO,Khanna Cinema,"Shyambazar
",Bagbazar
1,0,0.22,0,0.04,0.19,0.13,0.14,0.13,0.03,0.05,0.52,0.41,0.35,1
2,0,0.33,0.14,0.05,0.2,0.25,0.1,0.11,0.31,0.39,0.63,0.67,0.25,1
3,0,0.06,0.05,0.02,0.11,0.27,0.09,0.12,0.08,0.35,0.65,0.29,0.26,1
4,0,0,0.17,0.11,0.29,0.58,0.45,0.36,0.04,0.46,0.27,0.1,0.35,1
5,0,0.19,0.17,0.12,0.11,0.19,0.12,0.29,0.21,0.16,0.76,0.12,0.52,1
6,0,0,0.09,0.12,0.29,0.42,0.12,0.1,0.5,0.3,0.48,0.27,0.6,1
7,0,0.08,0.27,0.27,0.17,0.31,0.06,0.13,0.05,0.2,0.55,0.28,0.25,1
8,0,0.08,0.27,0.27,0.17,0.31,0.06,0.13,0.05,0.2,0.55,0.28,0.25,1
9,0,0.11,0,0.18,0,0.14,0.2,0.22,0.34,0.12,0.33,0,0.5,1
10,0,0,0.12,0.09,0.18,0.11,0.05,0.05,0.03,0.18,0.52,0.35,0.6,1
11,0,0,0.05,0.19,0.11,0.08,0.17,0.06,0.24,0.17,0.55,0.27,0.7,1
12,0,0.12,0.15,0.27,0.14,0.25,0.23,0.15,0.29,0.28,0.68,0.45,0.72,1
13,0,0,0.2,0,0.18,0.08,0.07,0.06,0.03,0.13,0.58,0.26,0.51,1
14,0,0.18,0.21,0.16,0.14,0.16,0.17,0.05,0.06,0.26,0.57,0.26,0.29,1
15,0,0.4,0.33,0.28,0.35,0.12,0.14,0,0.05,0.32,0.61,0.12,0.43,1
16,0,0.4,0.33,0.28,0.35,0.12,0.14,0,0.05,0.32,0.61,0.12,0.43,1
